a	b	d	c	h	rmse
0.00038281	1.18977249	0.03724414	15.3248	2.4481	6.1139
0.00028292	0.89577657	0.02875907	16.3592	1.8321	9.2056
0.00011043	0.33685943	0.07175087	13.1318	2.3562	4.9826
0.00044817	0.38339722	0.08251296	13.6379	1.5747	8.8876
0.00092743	1.15115285	0.06177681	15.1588	2.9899	4.8530
0.00094362	0.77223516	0.02954544	18.7197	2.7759	7.8647
0.00072060	0.69768447	0.01258170	16.1291	1.5394	9.9021
0.00080814	0.56146902	0.06622272	13.9050	1.6097	8.7236
0.00039490	0.94633627	0.07789826	16.4788	1.8348	10.5619
0.00047639	0.25793454	0.06990808	14.6598	2.8169	4.8668
0.00032053	0.22901210	0.05049642	18.2996	2.3181	9.4263
0.00059487	0.50242126	0.09286493	19.3293	2.6938	10.0101
0.00048193	0.88585669	0.04355906	16.8584	2.7375	6.5522
0.00014541	0.92924297	0.04319434	15.7017	2.3036	6.9967
0.00090264	0.65895170	0.02735300	12.7140	1.9496	5.3317
0.00089639	0.88660538	0.09595301	16.3597	2.9480	6.5371
0.00088693	1.14669716	0.07725176	18.9485	2.9262	8.5945
0.00007279	0.47193664	0.05858197	14.6374	2.1506	6.8056
0.00086255	1.16661894	0.05449588	13.1726	2.4276	4.7432
0.00050821	0.11580813	0.04193328	13.8830	2.0914	5.9855
0.00028395	1.06012833	0.08799853	15.7792	2.7253	6.5485
0.00082590	0.16042238	0.02222428	14.3238	2.0115	6.3559
0.00005148	0.36854693	0.01935926	16.9656	2.2684	7.6763
0.00055814	0.88800287	0.09857624	15.2322	1.7265	10.3875
0.00023501	0.60658371	0.08028830	16.2836	2.2843	8.4037
0.00096418	0.98933607	0.06660625	13.0157	2.2736	5.3570
0.00009421	0.23727928	0.02675013	16.2378	2.3177	6.9552
0.00060517	0.34555611	0.06868491	16.5106	2.5505	7.3286
0.00085907	1.07525778	0.05312525	12.6535	2.5888	3.8853
0.00093767	0.60595226	0.04775793	18.4418	2.0617	10.8091
0.00087685	0.80270904	0.04094820	17.2503	1.9801	9.8630
0.00049172	0.08897131	0.02020317	15.9369	2.6723	5.4910
0.00059670	0.94433767	0.01367701	17.8040	2.5365	7.5632
0.00015890	0.45539105	0.01850872	13.9334	2.5818	4.2796
0.00061882	0.46853316	0.03033223	15.5750	1.6231	9.3364
0.00051816	0.97895682	0.05465141	18.9110	2.3531	10.1966
0.00019419	0.43525359	0.03243654	17.1363	2.2439	8.2379
0.00096470	0.33177420	0.04895682	19.2989	2.0034	11.8635
0.00030693	1.08141696	0.09317911	13.5999	2.6566	5.0385
0.00072103	0.87158698	0.00760709	17.8844	2.8927	6.3673
0.00021695	1.09480858	0.08893400	18.2123	2.3013	10.5260
0.00019776	0.61890936	0.09933721	14.7084	2.0362	8.3871
0.00054522	0.66112667	0.03279472	15.1780	2.8436	4.7374
0.00081966	0.82979327	0.03415953	17.0469	1.6187	11.0449
0.00010309	0.09516906	0.05485544	19.4085	2.3882	10.2238
0.00050778	0.07897110	0.04791808	13.1148	2.4705	4.2519
0.00007866	1.00129437	0.01442313	12.3370	1.7463	5.3866
0.00054775	0.28174222	0.00875038	19.6535	2.5322	9.0445
0.00025700	1.16794658	0.06226971	15.8218	2.8194	5.7695
0.00090000	1.01447952	0.03048185	17.0828	2.9253	6.0064
0.00006252	1.00634766	0.09902696	12.5681	2.4588	4.8806
0.00092507	0.34882030	0.08701421	17.1600	2.8021	7.4591
0.00053046	0.32185167	0.06379072	19.7359	2.1344	11.9761
0.00065936	0.80803537	0.08835465	18.1233	2.1423	11.1432
0.00022584	0.48377287	0.05383280	18.2525	1.8155	11.6124
0.00037553	0.77741659	0.02895164	19.4319	2.0941	11.0966
0.00073693	0.83784789	0.03108853	12.0380	2.7764	3.3763
0.00060309	0.46320069	0.02117118	12.0635	1.6970	5.4431
0.00030872	0.63297170	0.06950333	16.2251	2.3562	7.8307
0.00035745	0.77163857	0.08887166	18.8897	1.8973	12.8843
0.00042778	0.87692440	0.01518690	13.5903	2.8854	3.8453
0.00061008	0.98201776	0.00180284	14.8630	1.9288	6.8879
0.00022171	0.59166384	0.03984983	15.2028	2.2951	6.4467
0.00069025	1.05432940	0.04697924	13.6406	2.0026	6.4603
0.00038296	0.80562013	0.08922753	18.2599	2.1053	11.3831
0.00038890	0.58649790	0.02883727	18.2994	1.8447	10.9976
0.00037778	1.14016259	0.03684217	15.1191	2.0478	7.3981
0.00032079	0.50648320	0.06816279	13.7910	1.6480	8.3480
0.00026133	0.87962157	0.02814232	18.2791	2.0801	10.0137
