"a","b","d","c","h","rmse_b"
0.00037055,1.10894549,0.06207472,18.6485,2.1337,11.0382
0.00037415,1.09478962,0.02078721,17.9159,1.9811,9.9837
0.00085137,0.65990609,0.02338554,14.1202,2.8904,3.9972
0.00087682,0.41617236,0.07025988,16.4872,1.6284,11.265
0.00094737,0.28253102,0.06444614,14.2844,2.738,4.7608
0.00055724,0.88111812,0.00495708,19.4191,2.0381,10.8411
0.00098597,0.77314484,0.07550795,12.4542,2.0742,5.749
0.00017065,0.33029234,0.00109254,19.9436,2.2976,10.0045
0.00078057,0.22297359,0.05092075,12.6267,1.5882,7.0831
0.00067838,0.70676792,0.06705734,13.6162,2.8187,4.1687
0.00027648,0.87531829,0.0019644,16.292,1.5204,9.8298
0.00060353,0.77291977,0.03667393,12.3061,2.6273,3.4617
0.00024732,0.68373448,0.02407207,14.1784,1.7815,7.1439
0.00073238,0.3105692,0.0522706,12.3259,1.5801,6.8696
0.00042117,0.52464771,0.06008635,19.0141,1.5508,13.7519
0.00058915,0.09696606,0.00377679,14.6007,2.9528,4.214
0.00077867,0.11661836,0.03584304,18.5684,2.6387,8.1896
0.00075804,1.1631453,0.07414519,15.603,2.3695,7.539
0.00073597,0.37579706,0.0756158,14.0987,1.5349,9.4121
0.00071064,0.34000346,0.0047514,16.3967,1.7475,9.017
0.00059154,0.12287448,0.04626067,13.1716,2.7738,3.7595
0.00069665,0.53151494,0.02676138,19.0827,2.274,9.9809
0.00010337,1.05393255,0.06371391,18.0976,1.8812,11.5405
0.00034386,0.98719394,0.02062923,19.6222,2.3957,9.8994
0.00093183,0.26312187,0.02558024,18.0815,2.9086,6.6922
0.00084458,0.26627001,0.05417724,19.8183,2.9444,8.6229
0.00096461,0.28763172,0.08201751,12.0934,2.5123,4.017
0.00077277,0.08922743,0.00667519,12.7361,1.6739,5.8175
0.00035811,0.17173409,0.05684725,15.2339,1.6817,9.2515
0.00038811,0.43906307,0.06872492,16.5912,2.7013,6.8301
0.00043642,0.70687681,0.09668481,13.2007,1.5616,8.986
0.00018268,0.95876408,0.0535515,15.5853,1.7885,9.2195
0.00039772,0.36402148,0.03057108,14.3151,2.6106,4.5895
0.00017769,0.49784303,0.05449172,19.6192,1.9008,12.5954
6.2e-05,0.71358401,0.05616507,14.4852,2.8654,4.474
0.00027357,0.59891087,0.00423977,16.6139,1.936,8.4122
0.00089786,0.48245662,0.06163087,17.492,2.6005,7.9854
0.00054452,1.10776091,0.06338296,16.5849,2.7271,6.7941
9.69e-05,0.42552647,0.0736068,16.7828,2.8248,6.6174
0.00085742,1.11769259,0.03477455,19.4253,2.2068,10.9561
0.000512,0.28753129,0.02140656,17.396,2.0611,9.0077
0.000515,0.98929936,0.02275364,13.3758,1.6873,6.8594
0.00021339,0.69560897,0.03798879,17.9192,1.6031,11.8714
0.00011082,0.11776501,0.08324047,18.2764,2.8116,8.1399
0.00017817,0.99414611,0.09363208,16.3163,1.5266,12.1297
0.00055341,0.13771203,0.02852632,12.3048,2.9977,3.8711
0.00027581,0.92645651,0.07715814,16.1292,1.8243,10.2073
0.00074752,0.89779216,0.07139377,18.9079,2.1217,11.6185
0.00034832,0.64652735,0.0280283,17.4942,1.5936,11.2726
0.0006304,1.11416781,0.06645837,14.4077,1.6673,9.0774
6.066e-05,0.49150789,0.08708698,17.7833,1.8309,11.8795
0.00051122,0.10761563,0.02414124,12.8744,2.984,3.861
0.00030225,0.50108707,0.03095542,18.361,2.7739,7.4157
0.00073254,0.89374548,0.02517786,18.0884,1.7572,11.2452
0.0004453,0.39022562,0.05543587,14.9286,1.7089,8.8816
0.00043133,0.197797,0.08418282,14.0196,2.4108,5.856
0.00043393,0.32867596,0.07032831,17.2704,2.1439,9.6683
0.00039538,0.26151881,0.04072361,19.1392,1.7045,12.6343
0.00034001,0.21382877,0.071709,19.8014,2.5419,10.4466
0.00085552,0.43199772,0.07741016,12.8463,2.2661,5.3208
0.00093709,0.69159383,0.0736648,14.2323,1.843,8.3031
0.00043644,1.19964778,0.07325605,14.6249,2.7381,5.2732
0.00096723,0.41260934,0.04408081,12.9676,2.1805,5.0403
0.0004597,0.03242203,0.09654523,13.4333,2.8444,4.3098
0.00077813,0.25960073,0.09348845,18.3913,2.3398,10.5743
0.00027154,0.47274134,0.03712644,13.602,1.7234,7.0755
0.00093808,0.91101819,0.03331791,14.9717,1.7306,8.557
0.0006211,0.08534454,0.04748001,19.7478,2.3549,10.6359
0.00072426,1.13258517,0.04563262,12.6711,2.8509,3.5104
0.00090481,0.58220333,0.05089597,15.0085,2.5645,5.6776
0.00011932,0.97725642,0.08187007,19.9955,1.7461,14.4567
0.00078283,0.29912791,0.02223161,13.156,2.0025,5.3459
0.00034232,1.17950785,0.03659089,12.4321,1.7842,5.8947
0.00061361,0.50371701,0.03401871,13.9657,2.2052,5.5941
0.00036958,0.08954796,0.01919501,14.0527,1.7425,6.9667
0.00054647,0.84359229,0.01455983,15.6615,2.648,5.3639
0.00019911,0.61880356,0.05728385,16.074,2.1233,8.3056
0.0003909,1.05295169,0.0343595,12.4152,2.3693,3.9188
0.00035895,0.68925506,0.09899927,19.8408,1.7677,14.6424
0.00061234,0.91276509,0.05073912,13.5508,2.9845,3.7944
0.00011871,0.68352789,0.09761737,13.2706,2.4221,5.5049
0.00057469,0.52531958,0.01330777,16.7393,2.9514,5.3675
0.00068948,0.17824399,0.02748357,19.3579,2.9514,7.6317
0.00060191,0.978131,0.02413846,13.5193,2.7796,3.8344
0.00072776,0.26664785,0.08194543,17.4707,2.8058,7.5557
0.00075585,0.19766542,0.02094612,12.5325,2.8881,3.6882
0.00069871,0.28359023,0.03443778,13.388,2.3134,4.7339
0.00013315,1.15513515,0.0111405,18.8378,2.9066,7.1406
0.00036893,0.1773105,0.02286224,16.4204,2.3455,6.9828
0.00077757,1.0851227,0.06784105,14.063,2.2283,6.4883
0.00071898,0.4489769,0.07716075,18.6937,2.6433,9.2527
0.00056919,0.39915863,0.05735994,18.625,1.8696,11.8999
0.00038568,0.10515969,0.0090336,16.8123,2.144,7.8081
0.00070544,0.64646542,0.04937057,13.04,2.7426,3.7649
0.00025644,0.99328411,0.05648958,18.373,2.8267,7.8237
0.0006021,0.02588758,0.08515368,15.6699,2.7514,6.1395
0.00048658,0.29481956,0.04171155,13.3313,2.1277,5.3865
0.00022978,0.13576487,0.03882895,14.397,2.0917,6.3424
