"AirQualityStationNatCode","Longitude.laea","Latitude.laea","Longitude.wgs84","Latitude.wgs84","AirQualityStationType","AirQualityStationArea","AQValue","tropomi","industry_25","industry_50","industry_100","industry_300","industry_500","industry_800","industry_1000","industry_3000","industry_5000","road_class_1_25","road_class_1_50","road_class_1_100","road_class_1_300","road_class_1_500","road_class_1_800","road_class_1_1000","road_class_1_3000","road_class_1_5000","road_class_2_25","road_class_2_50","road_class_2_100","road_class_2_300","road_class_2_500","road_class_2_800","road_class_2_1000","road_class_2_3000","road_class_2_5000","road_class_M345_25","road_class_M345_50","road_class_M345_100","road_class_M345_300","road_class_M345_500","road_class_M345_800","road_class_M345_1000","road_class_M345_3000","road_class_M345_5000"
"2",-50421.2909364058,33823.794744251,4.87612,52.385002,"traffic","urban",48.38676554,6.26852512359619,0,0,0,0,0,117.96875,228.75,1925.20837402344,2901.375,0,0,0,0,0,0,0,10.7484970092773,17.1162433624268,0,0,0,0,2.37217783927917,3.18245816230774,5.21435260772705,10.0473556518555,13.4542942047119,2.08002924919128,2.64650964736938,6.3943920135498,15.5076026916504,20.4245700836182,27.4251117706299,28.6224975585938,63.0906143188477,109.048759460449
"3",-45802.7329139903,34211.4662276959,4.943897,52.388889,"background","urban",23.99754565,5.34985494613647,0,0,0,0,203.75,475.78125,468.75,576.666687011719,654.75,0,0,0,0,0,0,0,11.6075086593628,11.1432723999023,0,0,0,0,0,0,0,4.98018503189087,9.18893623352051,0,0,0,3.60706257820129,7.85956621170044,13.542742729187,16.0914554595947,47.3052864074707,68.8551406860352
"7",-52543.9158500792,33412.8677988507,4.845011,52.381111,"traffic","urban",43.87062492,6.26852512359619,0,0,12.5,102.083335876465,61.25,38.28125,50.625,1960.83337402344,3734.00073242188,9.80166816711426,9.45906162261963,10.4147167205811,9.14644050598145,8.70455265045166,7.91254281997681,7.89163398742676,11.9708137512207,16.1679210662842,0,0,0,0,1.3995406627655,1.90381789207458,1.97318315505981,8.8010835647583,11.3656358718872,1.00021207332611,1.8775680065155,5.29277467727661,8.47784042358398,21.7301063537598,31.0913543701172,34.9908103942871,65.738166809082,98.056022644043
"12",-49602.9100507394,34372.0417870781,4.888058,52.390003,"traffic","urban",35.44670291,6.26852512359619,0,0,0,0,0,90.625,321.875,1942.29162597656,2677.375,0,0,0,0,0,0,0,7.85995769500732,17.6419506072998,2.61453604698181,2.04842305183411,1.79262006282806,3.77422189712524,4.13593626022339,4.54531860351562,4.63128805160522,9.16404724121094,13.2559604644775,0,0,0,1.9183235168457,3.57648134231567,8.20676040649414,13.7566337585449,60.0104675292969,104.042114257812
"14",-55029.0759939146,31090.2625058576,4.808897,52.359997,"background","urban",25.19041762,6.26852512359619,0,0,0,0,0,0,0,96.0416641235352,1632.5,0,0,0,0,0,0,0,8.65323829650879,24.8465843200684,0,0,0,0,1.65102326869965,2.26748776435852,2.39337515830994,2.71619749069214,7.96466732025146,0,0,0.477921992540359,5.43571472167969,7.40634536743164,14.6298952102661,21.5538673400879,73.4795913696289,91.1772003173828
"17",-48825.096269619,30809.1463826709,4.9,52.358055,"traffic","urban",35.17531124,5.34985494613647,0,0,0,0,0,0,0,171.25,1161,0,0,0,0,0,0,0,5.13628721237183,19.3109073638916,1.81834030151367,2.09826827049255,1.9422619342804,2.46429800987244,3.62361788749695,7.19927310943604,7.79236221313477,11.4499750137329,12.872875213623,0,0.502677977085114,4.67764949798584,15.9707612991333,23.5385932922363,28.4266014099121,35.2632751464844,89.1891479492188,110.264175415039
"20",-51472.1166374426,32814.1630924063,4.860842,52.375832,"traffic","urban",43.52858295,6.26852512359619,0,0,0,50,223.75,320.3125,320,955.625,2810.125,0,0,0,0,0,0,0,8.63717746734619,16.160120010376,0,0,0,0,0,0,0.404798954725266,8.65120601654053,14.4218530654907,2.02860713005066,3.16958737373352,4.04314374923706,12.1816263198853,13.3131113052368,24.8875350952148,37.837287902832,82.3274765014648,110.702011108398
"21",-42804.4405810037,26673.2640962164,4.988894,52.321388,"background","urban",22.49367073,5.44665241241455,0,0,0,0,0,0,5,556.25,818.75,0,0,0,0,0,3.59243083000183,5.06043243408203,16.7681846618652,24.7265071868896,0,0,0,0,0,0.680771052837372,1.76827394962311,1.74049377441406,3.73812413215637,0,0,0,1.26382064819336,7.08554172515869,12.631142616272,14.1217250823975,39.4933471679688,53.9193954467773
"22",-56045.8962093967,33203.7688762849,4.79362,52.378887,"background","urban",21.56892047,6.26852512359619,0,0,0,0,0,0,0,1641.66662597656,3585.99951171875,0,0,0,0,0,2.62534356117249,3.22549104690552,9.48024654388428,19.2649211883545,0,0,0,0,0,0,0,5.64174747467041,7.35497188568115,0,0.508070230484009,1.52049911022186,2.33537364006042,7.199782371521,7.15925216674805,9.70272350311279,38.7832641601562,74.3014526367188
"107",29854.9393333048,-107061.974649061,6.043064,51.120277,"background","rural",17.04429399,6.33493661880493,0,0,0,0,0,0,0,87.7083358764648,89.375,0,0,0,0,0,0,0,0,0,0,0,0,0,4.27196073532104,4.2699122428894,4.16852998733521,4.21477460861206,4.14320135116577,0.110591515898705,2.09684777259827,2.35957026481628,3.92175698280334,4.7921404838562,6.14163827896118,6.31024503707886,9.44145011901855,29.6827507019043
"131",16438.8961758004,-60303.0560765792,5.853614,51.541111,"background","rural",18.53027621,5.76734018325806,0,0,0,0,0,0,0,6.875,4.375,0,0,0,0,0,0,0,0,0,0,0,0,1.77610599994659,2.76637983322144,2.6319568157196,2.55688619613647,2.68761777877808,2.51529669761658,0,0,0,0,0,0.0809686854481697,0.370923280715942,2.45932984352112,5.33516073226929
"133",18681.673678326,-131280.002621672,5.882236,50.903057,"background","suburban",14.20514158,6.32973194122314,0,0,0,0,0,0,0,45.625,440.25,0,0,0,0,0,0,0,7.11904430389404,11.5079641342163,0,0,0,0,0,0,0,2.55601215362549,2.66622042655945,0,0.368666291236877,1.53022646903992,8.3217077255249,11.2585878372192,10.5996732711792,9.17071914672852,18.8765029907227,39.4272956848145
