"a","b","d","c","rmse_p","h","rmse_b","ID"
0.00010002,0.48533452,0.08670879,19.7931,6.91551582023386,2.7416,9.9913,1
0.00010005,0.02774139,0.02646001,15.2355,11.4449915824776,2.267,6.1943,2
0.00010006,0.62842256,0.0116291,15.0146,11.8787677287599,2.9033,4.4145,3
0.00010007,0.81786817,0.09836663,13.6746,7.64869657592427,2.2723,6.4642,4
0.00010008,0.43697676,0.08465573,13.8902,8.47503327128759,2.858,4.4329,5
0.00010011,0.71122628,0.02700377,16.7266,9.7055011252961,1.9332,9.0146,6
0.00010012,0.1740693,0.05106117,15.5601,9.55853502105504,1.9643,8.1838,7
0.00010012,0.77771515,0.07741828,14.8687,7.96048797481887,2.1135,7.6902,8
0.00010014,0.49814227,0.02972463,17.5166,9.31359137218978,2.2848,8.3746,9
0.00010017,0.39741793,0.06599093,15.6491,8.45313902208175,2.2901,7.3664,10
0.00010018,0.62062198,0.09111928,18.1432,6.70011659415881,1.7665,12.6694,11
0.00010019,0.77180368,0.07426795,17.3,7.11534276082813,2.9965,6.5749,12
0.00010021,0.04818647,0.05083103,14.1726,10.6215241572367,2.7358,4.4104,13
0.00010023,1.01462936,0.06429093,13.5294,9.2604925535665,2.5101,4.8198,14
0.00010026,0.52092755,0.02557698,12.5055,12.912279888531,2.7071,3.5719,15
0.00010026,0.87421209,0.09335329,15.5719,6.97968762841616,2.8308,6.0464,16
0.00010028,0.59209567,0.04198844,18.182,8.27151631566781,1.923,10.7907,17
0.00010035,0.63955975,0.01468736,19.3396,9.16817205268842,2.8165,7.8392,18
0.00010038,0.1649196,0.05440509,13.4148,10.7782003490298,1.7193,7.1999,19
0.00010038,0.20254041,0.08729317,12.5373,9.46682314705605,2.5143,4.307,20
0.00010043,0.72351205,0.09379664,19.152,6.72969095196337,2.9839,8.6663,21
0.00010043,0.73089278,0.07506467,16.455,7.38421228164165,2.6584,7.002,22
0.00010045,0.25495329,0.08147821,17.2855,7.31391185474977,2.2289,9.4979,23
0.00010045,0.73538893,0.02739192,16.5008,9.79193587491886,2.2018,7.7439,24
0.00010046,1.10228705,0.04392309,15.133,9.35210102111137,2.4275,6.079,25
0.00010048,0.13641317,0.08894429,15.0224,8.02864826441709,2.2663,7.341,26
0.00010048,0.9794668,0.04602173,13.0183,10.7401564992885,1.7866,6.5517,27
0.00010049,0.81119722,0.02642163,15.012,10.7310917804326,2.7009,4.8568,28
0.00010057,0.25498271,0.00510124,14.2845,13.2653801201797,1.9899,5.9674,29
0.00010057,1.18092585,0.05547983,14.0381,9.32319360127754,2.1984,6.1718,30
0.00010059,0.72645515,0.05706365,14.4839,9.28411043663552,2.8795,4.4587,31
0.00010064,0.89357752,0.05232963,16.0056,8.52175751136294,1.7811,9.5933,32
0.00010075,1.11113858,0.08004623,13.7758,8.21807961280912,2.3655,5.8507,33
0.00010077,0.06679703,0.04981668,16.5974,9.17967567048032,2.4095,7.3726,34
0.00010078,0.59927601,0.06386636,19.0126,7.18462919377878,1.7472,12.9084,35
0.0001008,0.01174458,0.00601017,12.9163,14.5501795252122,1.8022,5.3745,36
0.0001008,1.02651262,0.06443809,16.3348,7.69249287946891,2.2532,8.2747,37
0.00010081,0.90457368,0.06070553,15.1892,8.51761796755935,2.8298,5.144,38
0.00010086,0.49553448,0.01041047,18.8466,9.7635269902292,2.882,7.1112,39
0.00010087,0.8154456,0.00156092,15.6668,11.9292737841378,1.9146,7.5555,40
0.00010088,0.33706358,0.014008,18.3845,9.94604216529129,1.6212,11.556,41
0.00010088,0.997949,0.01281973,12.4174,13.4012370667728,2.5192,3.5589,42
0.00010089,0.99972576,0.04971638,12.9174,10.5649178842345,1.9927,5.7442,43
0.0001009,1.02076185,0.09526532,14.5931,7.21435998275213,1.7096,9.655,44
0.00010092,0.08529375,0.00809634,16.1452,11.9547054967499,2.8343,5.1245,45
0.00010094,0.40269709,0.05176955,14.3208,10.0277612986699,2.2441,6.0138,46
0.00010097,0.22356975,0.01766446,19.967,9.16157635289674,2.9029,8.0796,47
0.00010099,0.60625279,0.02613741,14.4094,11.361158488853,1.8787,6.9747,48
0.00010106,0.70942146,0.00960889,18.8018,9.63947363977718,1.8406,11.022,49
0.00010106,1.15313148,0.07905935,13.8792,8.18389980335419,2.0074,7.3186,50
0.00010109,0.40784812,0.09415717,18.1447,6.79333645230311,1.9105,12.0568,51
0.00010111,0.01061134,0.07360592,16.0274,8.37031829644343,1.947,9.2031,52
0.00010117,0.26701739,0.07126612,13.8734,9.36488989303099,2.97,4.0675,53
0.00010122,1.02303541,0.06910095,19.5238,6.88053638999833,1.9183,12.91,54
0.00010126,1.05528319,0.09664952,14.0438,7.39265720737655,2.1065,7.4875,55
0.0001013,0.49263531,0.02918005,17.6168,9.29687277066584,2.2164,8.7243,56
0.00010131,0.33949369,0.05276781,17.7905,8.15872900014999,1.8192,11.0459,57
0.00010131,0.75164413,0.09163018,17.6849,6.65133670962489,2.6406,8.5817,58
0.00010133,0.03062106,0.03696582,15.4436,10.6440518871407,2.427,6.027,59
0.00010135,1.12999105,0.07155402,18.9551,6.8301499137695,2.2107,11.1795,60
0.00010136,0.17694862,0.06143999,13.0718,10.5801447461315,2.9665,3.7149,61
0.00010136,0.94836932,0.09968646,19.0122,6.71746070861475,2.0209,12.7211,62
0.00010137,1.06743407,0.05162054,12.6767,10.5695100035339,2.0319,5.4364,63
0.00010139,0.68459529,0.06619012,16.5566,7.74198303272352,1.7455,10.5765,64
0.0001014,0.08948051,0.02883713,18.3481,9.40747079290924,1.8211,10.952,65
0.0001014,0.24176906,0.05050771,16.2506,9.11032357105151,2.4459,6.9726,66
0.00010143,0.25287229,0.04190611,14.4563,10.7120321687607,2.1046,6.412,67
0.00010143,0.68395871,0.05202403,13.3957,10.3535339968633,2.3469,4.9246,68
0.00010143,0.70326471,0.05228112,19.8059,7.35173282504591,1.6746,13.7504,69
0.00010144,1.13895762,0.0886389,19.6448,6.82008425412027,2.4985,11.0591,70
0.00010146,1.09746599,0.00399981,13.0263,13.4604962282268,1.8184,5.5761,71
0.00010148,0.47089583,0.03609325,15.611,10.0616294497894,2.6905,5.418,72
0.00010149,0.03481257,0.00942231,12.2971,14.7697172796939,1.9862,4.3355,73
0.00010149,0.80487281,0.09971192,15.6951,6.80502148163205,2.9611,5.8475,74
0.0001015,0.98572934,0.07051814,13.1455,9.18527617281272,2.215,5.5884,75
0.0001015,1.12262499,0.01436289,12.8763,12.834430540084,2.4843,3.8149,76
0.00010151,1.00139666,0.0026455,13.5228,13.2522008013336,2.4446,4.1783,77
0.00010152,0.55127031,0.016374,13.3387,12.8646705004959,2.3232,4.3982,78
0.00010152,0.76056892,0.08346073,13.7613,8.29979402807755,1.9766,7.3375,79
0.00010153,0.30953646,0.04612831,16.0425,9.38993497208574,2.7514,5.718,80
0.00010153,0.86231178,0.08514696,14.9433,7.52680010729599,2.169,7.747,81
0.00010154,0.83160442,0.09070414,14.024,7.77038927247493,2.3945,6.1443,82
0.00010156,0.10147895,0.05954272,14.0717,10.1020814385615,2.3507,5.5201,83
0.00010156,0.88369507,0.00519411,12.6662,13.8397759029298,2.8538,3.8531,84
0.00010158,0.49408823,0.09549803,18.7221,6.75472510670127,2.4451,10.3906,85
0.0001016,0.70516264,0.01591,19.349,9.0434495890684,1.5206,13.083,86
0.00010161,0.94910973,0.07346693,14.5346,8.20355220953706,2.984,4.5061,87
0.00010163,0.31089255,0.00367531,13.7744,13.6810793240073,2.042,5.3348,88
0.00010167,0.51157105,0.05625977,14.9093,9.27059379606534,1.6363,9.1365,89
0.00010169,0.47470686,0.01525208,15.5911,11.3955990798245,2.4375,5.8308,90
0.00010181,1.0720346,0.0657542,13.7862,8.97192271310035,2.177,6.2244,91
0.00010181,1.17037928,0.06991542,12.8805,9.27403325066972,2.1904,5.4697,92
0.00010182,0.23230585,0.07071653,19.9276,7.2396124673029,2.5423,10.4918,93
0.00010183,0.9869929,0.02021107,17.7472,9.33743124837168,2.1398,9.0711,94
0.00010186,0.41736183,0.04734961,14.0782,10.4420594653314,2.0698,6.343,95
0.00010186,0.53871638,0.04767085,14.0826,10.2875971697715,2.297,5.5648,96
0.00010187,0.42633477,0.09338696,16.9766,6.91158467465981,2.6679,7.78,97
0.00010189,0.32633159,0.06050256,15.2609,9.02876405383717,1.7552,9.0286,98
0.00010189,0.56912231,0.08832406,14.4107,7.8860750894098,1.8813,8.4301,99
0.0001019,0.70833355,0.06771105,18.5993,7.07212289835104,1.523,13.6217,100
0.0001019,0.76822835,0.00599673,12.2061,14.2562836409444,2.9478,4.126,101
0.00010191,0.31909251,0.08284922,12.8361,9.35718529865388,1.7468,7.2688,102
0.00010192,0.27579856,0.07462206,14.6055,8.73218584288429,2.5147,5.7641,103
0.00010192,0.49372783,0.0611877,18.459,7.45497880434534,1.5146,13.2929,104
0.00010193,0.01400929,0.0249004,14.4342,12.118996541238,1.6801,7.6301,105
0.00010196,1.11824691,0.09910755,19.245,6.80386373191948,1.8235,13.8562,106
0.00010197,0.78370768,0.0533503,16.8222,8.14416182119514,2.395,7.8672,107
0.00010205,0.85545295,0.0756344,12.3222,9.56392141421417,2.6708,3.7348,108
0.00010206,0.68819213,0.06138,12.1899,10.6504985436901,1.7526,6.1916,109
0.00010206,1.0543499,0.09159332,15.9011,6.85301687697511,2.1873,8.7987,110
0.00010216,0.97150582,0.05334251,17.9091,7.60092833111044,1.9463,10.7961,111
0.0001022,1.07238197,0.08077517,16.9521,6.87617839586297,1.7292,11.5184,112
0.00010222,0.13257155,0.07179499,16.4615,8.09736658129497,2.3493,7.9679,113
0.00010224,0.57039243,0.07472885,18.639,6.97457478350799,1.7547,12.7745,114
0.00010226,0.99520338,0.00416493,19.511,9.42561203852173,2.2604,9.9328,115
0.0001023,0.49241179,0.00310022,13.1992,13.9590122786664,2.9056,4.0155,116
0.0001023,0.61484414,0.06105636,14.28,9.28921922886338,1.8906,7.5999,117
0.00010231,0.05736957,0.08086979,13.358,9.44879973475043,1.7168,7.7778,118
0.00010241,0.63216865,0.01083978,19.6722,9.24461580939388,2.8289,8.0225,119
0.00010243,0.40306655,0.06186151,14.5253,9.31033103112485,1.6813,8.679,120
0.00010244,0.5931136,0.02554538,12.7598,12.6369969648727,1.854,5.5199,121
0.00010251,0.86749572,0.04175189,14.1303,10.3088683218348,2.9139,4.0888,122
0.00010254,0.07998439,0.07616341,12.3634,10.3493065988161,2.7928,3.5684,123
0.00010256,1.19650519,0.03229262,15.452,9.78938176579766,1.6854,9.0541,124
0.00010257,0.44473737,0.08876112,14.819,7.78351538822063,1.7482,9.3734,125
0.00010258,0.9495095,0.03340722,18.9098,8.16052550468447,2.3913,9.4545,126
0.00010258,1.07435048,0.02332131,13.2483,11.9762518955021,1.7656,6.3666,127
0.00010264,0.61762768,0.04018793,15.8518,9.51778621738858,2.9798,4.9637,128
0.00010272,0.36307627,0.0338164,17.3867,9.28681508986296,2.6002,7.1468,129
0.00010273,0.35953319,0.03956943,13.0469,11.7422008994427,2.514,4.0198,130
0.00010273,1.17331684,0.02909529,15.2815,10.1076964295739,2.7863,4.9206,131
0.00010274,0.21725127,0.0833718,17.5053,7.24267029559819,2.9834,6.8647,132
0.00010276,1.11254013,0.02472313,17.4484,9.1526155553478,2.8991,6.2122,133
0.00010278,0.25488868,0.02933976,16.5005,10.1672079643424,1.6362,9.9811,134
0.00010284,0.1165148,0.05158993,17.3085,8.67301480804283,2.5526,7.5436,135
0.00010285,0.07619505,0.07786885,16.0625,8.08326436495423,2.7433,6.284,136
0.00010288,0.63705689,0.04268497,12.1425,11.92378957179,2.8855,3.555,137
0.0001029,0.23639055,0.09644334,16.5916,7.09793946783689,2.039,9.9934,138
0.0001029,0.47665927,0.00168199,14.2108,13.3022656550945,1.6691,7.0687,139
0.00010295,0.31370881,0.07164484,12.6673,10.0975295814039,1.8021,6.5986,140
0.00010296,0.9744001,0.07897007,17.0853,6.92584497800101,2.5592,8.0984,141
0.00010299,1.05079377,0.04403221,17.7965,8.01471022520401,2.5134,8.1817,142
0.00010305,0.37299263,0.06098626,17.9031,7.73061039001803,2.6624,7.9304,143
0.00010305,0.68914586,0.06540591,14.4296,8.88431403327595,2.9704,4.3481,144
0.00010305,0.97287261,0.04879358,12.1537,11.2092105801932,2.5938,3.5078,145
0.00010306,0.07519906,0.05890852,13.1231,10.8247898892882,2.5033,4.2979,146
0.00010306,0.82188952,0.02128757,19.2108,8.72712623181526,1.8138,11.8343,147
0.00010306,0.87443823,0.08092555,12.427,9.18318063725567,1.8107,6.7139,148
0.00010307,0.20338646,0.01976977,13.7658,12.7061619292582,2.664,4.0721,149
0.00010309,0.09516906,0.05485544,19.4085,7.84508051607518,2.3882,10.2238,150
0.00010316,0.40451783,0.09854131,18.4179,6.77005233225165,1.8265,12.809,151
0.00010318,1.07263517,0.08825958,18.4163,6.61932012855863,1.8852,12.469,152
0.00010319,0.36969399,0.08100339,15.2644,7.9734706937692,1.94,8.77,153
0.00010322,0.48973563,0.05205402,17.5718,8.12744906623255,2.5672,7.8179,154
0.00010322,0.84352696,0.09816426,14.7111,7.15829009464401,2.5129,6.5034,155
0.00010324,1.16346371,0.02560153,15.78,10.0156467540871,2.9696,4.8403,156
0.00010328,0.40068665,0.00694144,17.6798,10.6939791094511,2.3529,7.7995,157
