"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
1,23,"BEL","Belgium",1,"Bruxelles",1,"Bruxelles",1,"Brussel","Arrondissement","Arrondissement",NA,"Bruxelles"
2,23,"BEL","Belgium",2,"Vlaanderen",2,"Antwerpen",2,"Antwerpen","Arrondissement","Arrondissement",NA,"Anvers"
3,23,"BEL","Belgium",2,"Vlaanderen",2,"Antwerpen",3,"Mechelen","Arrondissement","Arrondissement",NA,"Malines"
4,23,"BEL","Belgium",2,"Vlaanderen",2,"Antwerpen",4,"Turnhout","Arrondissement","Arrondissement",NA,NA
5,23,"BEL","Belgium",2,"Vlaanderen",3,"Limburg",5,"Hasselt","Arrondissement","Arrondissement",NA,NA
6,23,"BEL","Belgium",2,"Vlaanderen",3,"Limburg",6,"Maaseik","Arrondissement","Arrondissement",NA,NA
7,23,"BEL","Belgium",2,"Vlaanderen",3,"Limburg",7,"Tongeren","Arrondissement","Arrondissement",NA,"Tongres"
8,23,"BEL","Belgium",2,"Vlaanderen",4,"Oost-Vlaanderen",8,"Aalst","Arrondissement","Arrondissement",NA,"Alost"
9,23,"BEL","Belgium",2,"Vlaanderen",4,"Oost-Vlaanderen",9,"Dendermonde","Arrondissement","Arrondissement",NA,"Termonde"
10,23,"BEL","Belgium",2,"Vlaanderen",4,"Oost-Vlaanderen",10,"Eeklo","Arrondissement","Arrondissement",NA,NA
11,23,"BEL","Belgium",2,"Vlaanderen",4,"Oost-Vlaanderen",11,"Gent","Arrondissement","Arrondissement",NA,"Gand"
12,23,"BEL","Belgium",2,"Vlaanderen",4,"Oost-Vlaanderen",12,"Oudenaarde","Arrondissement","Arrondissement",NA,"Audenarde"
13,23,"BEL","Belgium",2,"Vlaanderen",4,"Oost-Vlaanderen",13,"Sint-Niklaas","Arrondissement","Arrondissement",NA,"Saint-Nicolas"
14,23,"BEL","Belgium",2,"Vlaanderen",5,"Vlaams Brabant",14,"Halle-Vilvoorde","Arrondissement","Arrondissement",NA,"Hal-Vilvorde"
15,23,"BEL","Belgium",2,"Vlaanderen",5,"Vlaams Brabant",15,"Leuven","Arrondissement","Arrondissement",NA,"Louvain"
